Table S1. Inclusion and exclusion criteria,,,,
"Lucchesi et al., 2020 (28)",Brasil,The role of security and walkability in subjective wellbeing: A multigroup analysis among different age cohorts,"Subjective wellbeing, Age cohorts, Built environment, Walkability, Security, Multigroup structural equation models",
"Machado, 2016 (29)",Portugal,Envelhecimento bem-sucedido e avaliação gerontológica em respostas de retaguarda à velhice: Um estudo numa estrutura residencial para pessoas idosas,"Envelhecimento bem-sucedido, Gerontologia Social, Gerontologia Ambiental, Avaliação Gerontológica, Multidimensional, Estruturas Residenciais para Pessoas Idosas (ERPI)",
"Mahmood et al., 2012 (30)",Canada/United States,A photovoice documentation of the role of neighborhood physical and social  environments in older adults’physical activity in two metropolitan areas in North America,"Neighborhood, Aging, Physical activity, Health behavior, Physical environment, Social factors, Photovoice, Canada, USA",
"Menant et al., 2010 (31)",Australia,Impaired depth perception and restricted pitch head movement increase obstacle contacts when dual-tasking in older people.,"Aged, Depth perception, Gait, Dual tasks, Obstacle avoidance, ",
"Montuwy et al., 2019 (32)",France,Using sensory wearable devices to navigate the city: Effectiveness and user experience in older pedestrians,"Navigation, pedestrians, older people, user experience, augmented reality, spatialized sounds ",
"Moorman et al., 2017 (33)",United States,Mechanisms Linking Neighborhood Age Composition to Health,"Structural equation, models, Self-rated health, Sociology of aging/social, gerontology, Well-being",
"Neale et al., 2017 (34)",Scotland,The Aging Urban Brain: Analyzing Outdoor Physical Activity Using the Emotiv Affectiv Suite in Older People,"EEG, Mobility, Urban, Emotiv, Older adults, Green space",
"Phillips et al., 2010 (35)",Hong Kong,Person—Environment (P-E) fit models and psychological well-being among older persons in Hong Kong,"P–E fit, psychological well-being, older persons, congruence model, residential adjustment",
"Qian et al., 2019 (36)",Hong Kong,Does aging-friendly enhance sustainability? Evidence from Hong Kong,"aging?friendly, economic sustainability, environmental, sustainability, Hong Kong, principal component, analysis, social sustainability",
"Quine & Morrell, 2008 (37)",Australia,Feeling safe in one’s neighbourhood: Variation by location among older Australians,,
"Rantakokko et al., 2010 (38)",Finland,Unmet physical activity need in old age,"Unmet need, physical activity, environment, aging",
"(Ribeiro et al., 2015)",Portugal,"Distance to parks and non-residential destinations influences physical activity of older people, but crime doesn't: A cross-sectional study in a southern European city","Physical activity, Safety, Older adults, Parks, Destinations, ",
"Ronzi et al., 2020 (40)",United Kingom,How is Respect and Social Inclusion Conceptualised by Older Adults in an Aspiring Age-Friendly City? A Photovoice Study in the North-West of England,"Age-Friendly Cities, photovoice, qualitative research, healthy ageing, active ageing, older people, social inclusion, participation, UK",
"Rubenstein et al., 2011 (41)",United States,"Validating an evidence-based, self-rated fall risk questionnaire (FRQ) for older adults","Falls, Fall prevention, Geriatrics, Risk assessment",
"Sallis et al., 2015 (42)",United States,Is Your Neighborhood Designed to Support Physical Activity? A Brief Streetscape Audit Tool.,,
"Siu, 2019 (43)",Hong Kong,Assessment of physical environment factors for mobility of older adults: A case study in Hong Kong,"Age-friendly city, Objective indicators, Subjective indicators, Walking, Public transport, Assessment",
"Strohmeier, 2016 (44)",Austria,Barriers and their Influence on the Mobility Behavior of Elder Pedestrians in Urban Areas: Challenges and Best Practice for Walkability in the City of Vienna,"Accessibility, demographic change, age-friendly environment, mobility barriers, surveys, elderly road user, walkability",
"Therrien & Desrosiers, 2009 (45)",Canada,"Participation of metropolitan, urban and rural community-dwelling older adults","Urban older adults, Rural older adults, Participation, Environmental factors",
"van den Berg et al., 2016 (46)",Netherlands,Ageing and loneliness: The role of mobility and the built environment,"Loneliness, Social isolation, Age, Residential environment, Transportation, Mobility",
"van Haastregt et al., 2008 (47)",Netherlands,Feelings of Anxiety and Symptoms of Depression in Community-Living Older Persons Who Avoid Activity for Fear of Falling,"Depression, anxiety, aged, fear, accidental falls, avoidance of activity, community-living",
"Vitorino et al., 2019 (48)",Brazil,Is the Physical Environment Associated with Spiritual and Religious Coping in Older Age? Evidence from Brazil,"Older people, Physical environment, Spirituality, Religion, Coping",
"Wood et al., 2008 (49)",Australia,"The anatomy of the safe and social suburb: An exploratory study of the built environment, social capital and residents' perceptions of safety","Social capital, Safety, Built environment, Health, Walkability, Mixed use, Upkeep",
"(Yanagihara et al., 2014 (50)",Japan,Falls in the elderly and accessibility traffic environment in neighborhood districts,"Elderly people, falling, Neighborhood districts",
"Yu et al., 2020 (51)",Taiwan,Restorative effects of virtual natural settings on middle-aged and elderly adults,"Attention restoration, Mood states, Natural environments, Restorative environments, Seniors",
"Yu et al., 2019 (52)",Hong Kong,Is neighbourhood social cohesion associated with subjective well-being for older Chinese people? the neighbourhood social cohesion study,,
,,,,
,,,,
Table S4: Methodology and data collection,,,,
Specific measures used (Scales),Data collection methods,Measurements,,Immersivity
ACT-OUT- participation in activities and places outside the home questionnaire: (16),Paper and pencil/postal/email:,Self-reported:,,"3, 51"
,"1, 3, 4, 10, 16, 26, 27, 40, 43, 45, 46","3, 4, 5, 6, 8,",,
,,"9, 13, 14, 15, 16, 17, 20, 21, 25, 26, 27, 30, 35, 36, 37, 40, 41, 47, 48, 52",,
"BESSC - built environment site survey checklist: (7, 18)",Phone survey:,Objective:,,
,"8, 19, 32, 43, 48","2, 7, 12, 29, 31, 34, 39, 42",,
BInd – Barthel Index: (29),Face to face interview:,Both:,,
,"2, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19, 22, 23, 25, 26, 29, 32, 35, 36,37, 38, 39, 40, 42, 43, 45, 46, 48, 50, 51, 52","1, 10, 11, 18, 19, 22, 23, 28, 32, 33, 38, 43, 44, 45, 46, 49, 50, 51",,
BSCS- brief sense of community scale: (52),Walking interviews:,,,
,"3, 21, 25, 31, 34, 38, 50",,,
CFAI-plus- Comprehensive Frailty Assessment Instrument: (13),"National survey (census, etc):",,,
,"6, 20, 33",,,
DJGS- De Jong Gieveld Scale: (13),Focus groups:,,,
,"14, 40, 49",,,
EPIP- Porto Physical Activity Questionnaire: (39),Online questionnaires:,,,
,"5,10,15,24",,,
ETA- Ecological Theory of Aging: (25),Photovoice:,,,
,"30, 40",,,
FeS-i- falls efficacy scale-international: (31),Sensors:,,,
,"32, 34, 42",,,
FRQ- fall risk questionnaire: (41),Virtual environment:,,,
,"3, 51",,,
GARS- groningen activity restriction scale: (23),,,,
"HAN- healthy aging research network’s: (22, 42)",,,,
HK-NCI- Hong Kong version of neighborhood cohesion instrument: (52),,,,
IPAQ- international physical activity questionnaire: (19),,,,
LIFE-H- Assessment of life habits: (45),,,,
MAPS- Microscale audit of pedestrian streetscapes: (42),,,,
NeDeCC- Neighborhood design characteristics checklist: (7); ,,,,
"NEWS- neighborhood environment walkability scale: (13, 22)",,,,
NeDeCC- Neighborhood design characteristics checklist: (7);,,,,
OPQOL- older people's quality of life: (4),,,,
PANAS- positive and negative affect schedule: (9),,,,
OPQOL- older people's quality of life: (4),,,,
PAS- place attachment scale: (9),,,,
PANAS- positive and negative affect schedule: (9),,,,
POMS- profile of mood states: (51),,,,
RCS- restorative components scale: (51),,,,
SART- sustained attention to response test: (51),,,,
SCS- social cohesion scale: (52),,,,
SEIDII- study of environmental and individual determinants of physical activity: (49,,,,
SEIQOL- schedule for the evaluation of individual quality of life: (6),,,,
SERA- assessment system of residential structures for the elderly: (29),,,,
SNQLS- senior neighborhood quality of life study: (42),,,,
SPACES– systematic pedestrian and cycling environmental scan: (49),,,,
"WEMWBS- Warwick-Edinburgh mental well-being scale: (7, 17)",,,,
WHODAS- who disability assessment schedule 2.0; (24),,,,
,,,,
,,,,
,,,,
TableS3: Study and sample characteristics,,,,
Age sample,Gender dominance,Study duration,,
Only +60:,Female:,Not clear:,,
"2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 22, 23, 24, 25, 26, 27, 29, 30,31, 32, 34, 35, 37, 38, 39, 40, 41, 44, 45, 47, 48, 50, 51, 52","1, 4, 5, 7, 8, 9, 10, 11, 14, 18, 19, 22, 23, 25, 27, 28, 29, 30, 33, 35, 37, 38, 39, 40, 47, 48, 49, 51, 52","3, 5, 6, 7, 8, 10, 11, 12, 16, 24, 26, 29, 31, 32, 35, 36, 41, 45, 50",,
Middle-aged and older (30/59 y):,Male:,1 to 3 months:,,
"1, 14, 16, 20, 33, 36, 43","3, 12, 13, 15, 16, 17, 24, 26, 32, 44, 46","2, 9, 14, 15, 21, 23, 28, 44, 46, 51, 52",,
All ages:,Equal (male and female):,4 to 6 months:,,
"5, 21, 28, 42, 46, 49","6, 21, 31, 41, 45","4, 13, 16, 27, 37",,
,No data:,7 to 12 months:,,
,"2, 20, 34, 36, 42, 43, 50","1, 17, 19,20, 30, 40, 43, 47",,
,,More than 12 months:,,
,,"22, 25, 33, 34, 38, 39, 42, 48, 49",,
